dniCliente,fechaCreacion,orden,codigoEjercicio,cantidadSeries,cantidadRepeticiones,descansoSegundos,observaciones
34261773,2026-07-13,4,21,5,12,120,Controlar la velocidad de ejecución.
34261773,2026-07-13,5,15,3,8,60,Aumentar el peso si completa todas las series.
34261773,2026-07-13,6,42,4,11,45,
34261773,2026-07-13,7,6,4,8,30,Mantener la técnica durante todo el ejercicio.
34261773,2026-07-20,1,46,3,10,120,Reducir el peso si pierde la técnica.
34261773,2026-07-20,2,14,5,13,45,
34261773,2026-07-20,3,32,5,15,90,Controlar la velocidad de ejecución.
34261773,2026-07-20,4,13,4,14,120,
34261773,2026-07-20,5,26,5,11,45,Evitar impulsos.
34261773,2026-07-20,6,12,3,12,120,Evitar impulsos.
34261773,2026-07-20,7,38,4,12,120,
34261773,2026-07-20,8,29,5,13,90,Reducir el peso si pierde la técnica.
34261773,2026-07-20,9,55,3,8,60,Mantener la técnica durante todo el ejercicio.
43809676,2026-04-11,1,14,5,14,90,
43809676,2026-04-11,2,51,4,14,60,Controlar la velocidad de ejecución.
43809676,2026-04-11,3,8,3,14,60,Aumentar el peso si completa todas las series.
43809676,2026-04-11,4,27,4,14,90,
43809676,2026-04-11,5,43,3,14,60,Mantener la técnica durante todo el ejercicio.
43809676,2026-04-11,6,46,3,11,45,
43809676,2026-04-11,7,52,3,14,60,
43809676,2026-04-11,8,30,3,13,120,Evitar impulsos.
39885241,2026-06-08,1,33,3,8,120,
39885241,2026-06-08,2,14,4,14,45,
39885241,2026-06-08,3,39,4,9,60,
39885241,2026-06-08,4,35,5,9,60,
39885241,2026-06-08,5,23,5,11,30,Realizar el movimiento completo.
39885241,2026-06-08,6,13,5,13,90,Realizar el movimiento completo.
30319953,2026-07-26,1,38,5,15,90,Reducir el peso si pierde la técnica.
30319953,2026-07-26,2,18,3,9,90,
30319953,2026-07-26,3,3,5,15,30,Reducir el peso si pierde la técnica.
30319953,2026-07-26,4,33,3,15,60,
30319953,2026-07-26,5,31,5,12,45,
30319953,2026-07-26,6,1,5,11,90,Realizar el movimiento completo.
46767275,2026-07-29,1,42,3,15,120,Reducir el peso si pierde la técnica.
46767275,2026-07-29,2,36,3,12,45,Aumentar el peso si completa todas las series.
46767275,2026-07-29,3,12,5,14,45,Evitar impulsos.
46767275,2026-07-29,4,30,4,13,90,Mantener la técnica durante todo el ejercicio.
46767275,2026-07-29,5,22,5,14,90,Controlar la velocidad de ejecución.
46767275,2026-07-29,6,37,4,8,120,Mantener la técnica durante todo el ejercicio.
46767275,2026-07-29,7,34,5,10,90,
46767275,2026-07-29,8,11,3,14,45,Evitar impulsos.
46767275,2026-07-29,9,15,5,8,120,Reducir el peso si pierde la técnica.
46767275,2026-07-29,10,4,4,11,30,Evitar impulsos.
46767275,2026-08-06,1,10,3,9,120,Realizar el movimiento completo.
46767275,2026-08-06,2,22,4,11,90,
46767275,2026-08-06,3,19,4,13,90,Realizar el movimiento completo.
46767275,2026-08-06,4,24,3,10,60,Realizar el movimiento completo.
46767275,2026-08-06,5,1,3,8,30,Evitar impulsos.
46767275,2026-08-06,6,15,5,11,90,Reducir el peso si pierde la técnica.
46767275,2026-08-06,7,38,3,9,90,
46767275,2026-08-06,8,45,4,12,60,Reducir el peso si pierde la técnica.
46767275,2026-08-06,9,32,5,8,60,
46767275,2026-07-25,1,46,5,12,120,Reducir el peso si pierde la técnica.
46767275,2026-07-25,2,17,5,9,45,Evitar impulsos.
46767275,2026-07-25,3,45,4,11,120,Evitar impulsos.
46767275,2026-07-25,4,11,5,10,90,
46767275,2026-07-25,5,15,3,8,120,Mantener la técnica durante todo el ejercicio.
46767275,2026-07-25,6,14,4,12,120,
46767275,2026-07-25,7,43,5,11,30,Evitar impulsos.
46767275,2026-07-25,8,26,5,12,60,
46767275,2026-07-25,9,47,5,11,45,
46767275,2026-07-28,1,26,4,13,30,
46767275,2026-07-28,2,25,5,15,120,
46767275,2026-07-28,3,10,4,8,120,
46767275,2026-07-28,4,20,3,11,60,Aumentar el peso si completa todas las series.
46767275,2026-07-28,5,6,3,13,45,Reducir el peso si pierde la técnica.
46767275,2026-07-28,6,34,3,10,60,
32683340,2026-08-02,1,40,3,13,90,Aumentar el peso si completa todas las series.
32683340,2026-08-02,2,10,5,11,90,Reducir el peso si pierde la técnica.
32683340,2026-08-02,3,4,3,12,90,
32683340,2026-08-02,4,37,5,13,45,Reducir el peso si pierde la técnica.
32683340,2026-08-02,5,27,4,11,120,
32683340,2026-08-02,6,21,5,13,60,Aumentar el peso si completa todas las series.
32683340,2026-08-02,7,24,5,15,120,
32683340,2026-08-02,8,26,5,13,90,Evitar impulsos.
32683340,2026-08-02,9,32,5,9,90,Evitar impulsos.
32683340,2026-08-02,10,29,3,14,90,Reducir el peso si pierde la técnica.
32683340,2026-07-08,1,34,4,12,120,
32683340,2026-07-08,2,7,5,15,90,Realizar el movimiento completo.
32683340,2026-07-08,3,9,5,12,45,Reducir el peso si pierde la técnica.
32683340,2026-07-08,4,53,4,13,30,
32683340,2026-07-08,5,41,5,10,90,Reducir el peso si pierde la técnica.
32683340,2026-07-08,6,29,5,8,45,
32683340,2026-07-08,7,30,5,12,45,Evitar impulsos.
32683340,2026-07-08,8,39,4,9,120,
32683340,2026-07-08,9,31,5,15,60,Aumentar el peso si completa todas las series.
43700798,2026-07-19,1,44,3,15,45,Mantener la técnica durante todo el ejercicio.
43700798,2026-07-19,2,22,3,14,120,Evitar impulsos.
43700798,2026-07-19,3,35,4,12,90,
43700798,2026-07-19,4,9,3,13,45,Aumentar el peso si completa todas las series.
43700798,2026-07-19,5,43,4,11,120,Mantener la técnica durante todo el ejercicio.
43700798,2026-07-19,6,16,4,10,45,Realizar el movimiento completo.
43700798,2026-07-19,7,2,3,11,120,
43700798,2026-07-19,8,37,5,8,120,
43700798,2026-04-16,1,32,3,12,90,Realizar el movimiento completo.
43700798,2026-04-16,2,45,3,11,60,Controlar la velocidad de ejecución.
43700798,2026-04-16,3,24,4,15,30,Evitar impulsos.
43700798,2026-04-16,4,44,4,10,120,Mantener la técnica durante todo el ejercicio.
43700798,2026-04-16,5,55,3,12,60,Evitar impulsos.
43700798,2026-04-16,6,10,5,14,30,
43700798,2026-04-16,7,48,5,9,90,
43700798,2026-04-16,8,23,4,14,60,
43700798,2026-04-16,9,9,3,11,45,Mantener la técnica durante todo el ejercicio.
43700798,2026-07-28,1,18,5,8,120,Mantener la técnica durante todo el ejercicio.
43700798,2026-07-28,2,54,5,14,30,Realizar el movimiento completo.
43700798,2026-07-28,3,27,4,14,45,
43700798,2026-07-28,4,14,4,13,120,Reducir el peso si pierde la técnica.
43700798,2026-07-28,5,33,4,11,30,Realizar el movimiento completo.
43700798,2026-07-28,6,50,5,13,90,
43700798,2026-07-28,7,48,3,8,45,Controlar la velocidad de ejecución.
47386139,2025-12-06,1,52,3,12,90,Controlar la velocidad de ejecución.
47386139,2025-12-06,2,11,5,13,45,Evitar impulsos.
47386139,2025-12-06,3,54,4,12,120,Realizar el movimiento completo.
47386139,2025-12-06,4,51,5,8,60,Controlar la velocidad de ejecución.
47386139,2025-12-06,5,5,3,11,45,
47386139,2025-12-06,6,28,4,14,120,
47386139,2025-12-06,7,34,4,9,120,
47386139,2025-12-06,8,41,3,13,60,
47386139,2026-08-06,1,54,4,14,120,Mantener la técnica durante todo el ejercicio.
47386139,2026-08-06,2,40,5,14,60,Evitar impulsos.
47386139,2026-08-06,3,22,4,14,120,
47386139,2026-08-06,4,3,3,14,60,
47386139,2026-08-06,5,35,4,11,90,Evitar impulsos.
47386139,2026-08-06,6,13,3,13,30,Reducir el peso si pierde la técnica.
47386139,2026-08-06,7,11,5,12,30,Reducir el peso si pierde la técnica.
47386139,2026-08-06,8,55,4,10,45,Mantener la técnica durante todo el ejercicio.
34207866,2026-07-18,1,13,5,12,45,Reducir el peso si pierde la técnica.
34207866,2026-07-18,2,43,3,10,90,Aumentar el peso si completa todas las series.
34207866,2026-07-18,3,7,5,10,120,
34207866,2026-07-18,4,4,3,9,60,
34207866,2026-07-18,5,11,5,9,30,Evitar impulsos.
34207866,2026-07-18,6,25,5,15,30,
34207866,2026-07-18,7,50,4,9,60,
34207866,2026-07-18,8,17,3,8,30,
32138648,2026-02-15,1,36,5,14,90,
32138648,2026-02-15,2,26,3,9,90,Reducir el peso si pierde la técnica.
32138648,2026-02-15,3,45,3,13,120,Realizar el movimiento completo.
32138648,2026-02-15,4,34,4,8,90,
32138648,2026-02-15,5,31,5,10,120,Evitar impulsos.
32138648,2026-02-15,6,46,5,14,45,Controlar la velocidad de ejecución.
32138648,2026-02-15,7,18,5,13,45,Controlar la velocidad de ejecución.
32138648,2026-02-15,8,55,3,11,120,Mantener la técnica durante todo el ejercicio.
44962483,2026-07-12,1,1,3,13,60,Evitar impulsos.
44962483,2026-07-12,2,13,5,8,120,
44962483,2026-07-12,3,46,3,8,45,Aumentar el peso si completa todas las series.
44962483,2026-07-12,4,20,4,13,30,Mantener la técnica durante todo el ejercicio.
44962483,2026-07-12,5,12,5,11,60,Controlar la velocidad de ejecución.
44962483,2026-07-12,6,5,5,14,90,
44962483,2026-07-12,7,32,4,12,120,Evitar impulsos.
44962483,2026-07-12,8,27,5,15,30,Controlar la velocidad de ejecución.
44962483,2026-07-12,9,54,4,10,30,Evitar impulsos.
44962483,2026-07-12,10,36,4,11,90,Evitar impulsos.
31083433,2025-12-17,1,50,5,14,45,
31083433,2025-12-17,2,29,3,8,45,
31083433,2025-12-17,3,46,3,14,90,Controlar la velocidad de ejecución.
31083433,2025-12-17,4,20,5,10,90,Controlar la velocidad de ejecución.
31083433,2025-12-17,5,31,4,9,60,Controlar la velocidad de ejecución.
31083433,2025-12-17,6,9,3,15,60,Evitar impulsos.
31083433,2026-01-07,1,16,5,14,45,Evitar impulsos.
31083433,2026-01-07,2,48,5,12,120,
31083433,2026-01-07,3,43,3,9,60,
31083433,2026-01-07,4,23,4,9,120,Evitar impulsos.
31083433,2026-01-07,5,49,3,15,120,Evitar impulsos.
31083433,2026-01-07,6,55,4,10,90,Aumentar el peso si completa todas las series.
31083433,2026-01-07,7,52,3,10,120,Realizar el movimiento completo.
40058520,2026-01-14,1,44,3,15,90,Aumentar el peso si completa todas las series.
40058520,2026-01-14,2,19,3,13,90,
40058520,2026-01-14,3,31,4,8,60,
40058520,2026-01-14,4,15,5,13,30,Reducir el peso si pierde la técnica.
40058520,2026-01-14,5,9,4,13,60,Aumentar el peso si completa todas las series.
40058520,2026-01-14,6,4,4,8,90,
40058520,2026-01-14,7,24,5,14,60,
40058520,2026-01-14,8,38,4,10,45,
40058520,2026-01-14,9,41,5,12,120,
40058520,2026-01-14,10,50,4,15,90,
30605668,2026-01-09,1,49,5,14,30,Evitar impulsos.
30605668,2026-01-09,2,1,3,15,120,Realizar el movimiento completo.
30605668,2026-01-09,3,54,5,14,45,Reducir el peso si pierde la técnica.
30605668,2026-01-09,4,2,3,12,45,
30605668,2026-01-09,5,17,4,14,90,Aumentar el peso si completa todas las series.
30605668,2026-01-09,6,31,5,12,30,
30605668,2026-01-09,7,47,4,13,30,Reducir el peso si pierde la técnica.
30605668,2026-01-09,8,13,5,14,45,Realizar el movimiento completo.
30605668,2026-01-09,9,9,4,10,120,
33188844,2026-07-21,1,29,5,11,45,
33188844,2026-07-21,2,11,5,12,45,Reducir el peso si pierde la técnica.
33188844,2026-07-21,3,32,5,13,45,Realizar el movimiento completo.
33188844,2026-07-21,4,16,5,13,30,
33188844,2026-07-21,5,41,3,13,90,Reducir el peso si pierde la técnica.
33188844,2026-07-21,6,48,4,11,90,
33188844,2026-08-06,1,15,3,14,30,Realizar el movimiento completo.
33188844,2026-08-06,2,52,5,15,120,Evitar impulsos.
33188844,2026-08-06,3,47,4,14,30,Realizar el movimiento completo.
33188844,2026-08-06,4,41,3,9,90,Realizar el movimiento completo.
33188844,2026-08-06,5,23,5,12,90,Realizar el movimiento completo.
33188844,2026-08-06,6,14,4,14,90,Evitar impulsos.
33188844,2026-08-06,7,8,4,8,45,
33188844,2026-08-06,8,17,3,11,30,Aumentar el peso si completa todas las series.
31060603,2026-07-31,1,31,4,10,30,
31060603,2026-07-31,2,48,5,14,60,Realizar el movimiento completo.
31060603,2026-07-31,3,6,3,8,60,Aumentar el peso si completa todas las series.
31060603,2026-07-31,4,12,4,13,120,Evitar impulsos.
31060603,2026-07-31,5,29,4,10,60,Aumentar el peso si completa todas las series.
31060603,2026-07-31,6,22,4,12,45,Mantener la técnica durante todo el ejercicio.
31060603,2026-07-31,7,4,4,10,120,
31060603,2026-07-31,8,14,3,9,90,Evitar impulsos.
31060603,2026-07-31,9,26,3,14,90,Aumentar el peso si completa todas las series.
31060603,2026-07-31,10,52,4,9,90,
31060603,2026-08-05,1,49,4,10,30,Controlar la velocidad de ejecución.
31060603,2026-08-05,2,36,3,8,45,Reducir el peso si pierde la técnica.
31060603,2026-08-05,3,19,3,9,30,Realizar el movimiento completo.
31060603,2026-08-05,4,32,3,11,45,
31060603,2026-08-05,5,27,5,13,45,Evitar impulsos.
31060603,2026-08-05,6,18,5,15,60,Controlar la velocidad de ejecución.
31060603,2026-08-07,1,43,4,12,30,Reducir el peso si pierde la técnica.
31060603,2026-08-07,2,13,5,11,45,Mantener la técnica durante todo el ejercicio.
31060603,2026-08-07,3,47,4,15,30,Controlar la velocidad de ejecución.
31060603,2026-08-07,4,54,3,12,90,Aumentar el peso si completa todas las series.
31060603,2026-08-07,5,23,5,15,90,Evitar impulsos.
31060603,2026-08-07,6,18,5,14,120,Aumentar el peso si completa todas las series.
31060603,2026-08-07,7,7,3,11,45,Mantener la técnica durante todo el ejercicio.
31060603,2026-08-07,8,1,5,8,45,Controlar la velocidad de ejecución.
31060603,2026-08-07,9,2,3,8,120,
31060603,2026-08-07,10,49,4,8,90,
30601612,2026-07-22,1,40,4,12,60,
30601612,2026-07-22,2,23,5,14,60,
30601612,2026-07-22,3,19,4,14,30,Reducir el peso si pierde la técnica.
30601612,2026-07-22,4,4,5,15,120,Evitar impulsos.
30601612,2026-07-22,5,38,4,14,90,Evitar impulsos.
30601612,2026-07-22,6,18,4,8,30,Controlar la velocidad de ejecución.
30601612,2026-07-22,7,24,4,10,120,Mantener la técnica durante todo el ejercicio.
30601612,2026-07-22,8,10,5,14,120,Controlar la velocidad de ejecución.
30601612,2026-07-22,9,25,5,11,90,Controlar la velocidad de ejecución.
30601612,2026-05-05,1,50,5,11,60,Reducir el peso si pierde la técnica.
30601612,2026-05-05,2,47,5,14,30,Reducir el peso si pierde la técnica.
30601612,2026-05-05,3,14,5,15,30,Controlar la velocidad de ejecución.
30601612,2026-05-05,4,34,3,15,60,Controlar la velocidad de ejecución.
30601612,2026-05-05,5,25,4,9,30,
30601612,2026-05-05,6,23,5,15,45,Realizar el movimiento completo.
30601612,2026-05-05,7,20,4,12,30,Aumentar el peso si completa todas las series.
30601612,2026-05-05,8,31,5,15,45,
30601612,2026-05-05,9,55,4,15,30,
35745471,2026-07-31,1,22,3,14,45,Controlar la velocidad de ejecución.
35745471,2026-07-31,2,50,4,15,45,
35745471,2026-07-31,3,36,3,11,45,Realizar el movimiento completo.
35745471,2026-07-31,4,28,3,8,90,Reducir el peso si pierde la técnica.
35745471,2026-07-31,5,6,3,14,45,Evitar impulsos.
35745471,2026-07-31,6,13,3,9,60,Aumentar el peso si completa todas las series.
35745471,2026-07-31,7,8,4,10,30,Reducir el peso si pierde la técnica.
35745471,2026-07-31,8,3,3,8,120,Aumentar el peso si completa todas las series.
35745471,2026-07-24,1,17,4,14,60,Aumentar el peso si completa todas las series.
35745471,2026-07-24,2,55,4,14,45,
35745471,2026-07-24,3,31,5,10,90,Controlar la velocidad de ejecución.
35745471,2026-07-24,4,25,5,13,60,
35745471,2026-07-24,5,44,3,14,90,Realizar el movimiento completo.
35745471,2026-07-24,6,48,3,14,30,
35745471,2026-07-24,7,22,4,10,45,
35745471,2026-07-24,8,50,4,11,120,Aumentar el peso si completa todas las series.
35745471,2026-07-24,9,4,3,9,90,Mantener la técnica durante todo el ejercicio.
42937942,2026-01-30,1,19,3,11,120,
42937942,2026-01-30,2,53,5,15,120,
42937942,2026-01-30,3,10,5,12,45,Reducir el peso si pierde la técnica.
42937942,2026-01-30,4,42,3,11,45,Reducir el peso si pierde la técnica.
42937942,2026-01-30,5,36,3,15,90,
42937942,2026-01-30,6,40,4,11,60,Mantener la técnica durante todo el ejercicio.
38351164,2026-04-11,1,25,4,13,30,
38351164,2026-04-11,2,30,5,14,90,Aumentar el peso si completa todas las series.
38351164,2026-04-11,3,13,5,12,45,Evitar impulsos.
38351164,2026-04-11,4,50,4,15,45,Aumentar el peso si completa todas las series.
38351164,2026-04-11,5,54,4,9,45,
38351164,2026-04-11,6,45,5,14,90,Reducir el peso si pierde la técnica.
38351164,2026-04-11,7,12,5,14,60,
38351164,2026-04-11,8,43,4,13,90,
38351164,2026-04-11,9,55,3,14,60,Reducir el peso si pierde la técnica.
38351164,2026-04-11,10,11,3,15,120,Realizar el movimiento completo.
31670474,2026-08-01,1,13,5,9,45,Mantener la técnica durante todo el ejercicio.
31670474,2026-08-01,2,25,3,11,120,Reducir el peso si pierde la técnica.
31670474,2026-08-01,3,45,3,13,60,Aumentar el peso si completa todas las series.
31670474,2026-08-01,4,49,4,9,30,
31670474,2026-08-01,5,31,4,14,60,Controlar la velocidad de ejecución.
31670474,2026-08-01,6,50,3,10,30,
31670474,2026-08-01,7,16,3,13,120,Evitar impulsos.
31670474,2026-08-01,8,1,4,12,30,Reducir el peso si pierde la técnica.
43013693,2026-07-16,1,41,3,13,30,
43013693,2026-07-16,2,48,5,9,45,Aumentar el peso si completa todas las series.
43013693,2026-07-16,3,26,5,9,45,Controlar la velocidad de ejecución.
43013693,2026-07-16,4,23,3,10,120,Realizar el movimiento completo.
43013693,2026-07-16,5,42,3,9,60,
43013693,2026-07-16,6,24,5,8,30,
43013693,2026-07-16,7,6,4,14,30,Realizar el movimiento completo.
43013693,2026-07-16,8,43,3,10,60,Evitar impulsos.
43013693,2026-07-16,9,35,4,12,90,Controlar la velocidad de ejecución.
43013693,2026-07-16,10,14,3,12,30,
43013693,2026-03-19,1,22,3,11,30,Aumentar el peso si completa todas las series.
43013693,2026-03-19,2,25,5,15,60,
43013693,2026-03-19,3,7,4,14,90,
43013693,2026-03-19,4,34,5,11,45,Aumentar el peso si completa todas las series.
43013693,2026-03-19,5,37,3,13,30,Reducir el peso si pierde la técnica.
43013693,2026-03-19,6,39,3,8,90,Reducir el peso si pierde la técnica.
43013693,2026-07-30,1,16,5,15,30,
43013693,2026-07-30,2,23,4,9,60,Realizar el movimiento completo.
43013693,2026-07-30,3,32,3,15,90,Reducir el peso si pierde la técnica.
43013693,2026-07-30,4,2,3,12,60,
43013693,2026-07-30,5,8,5,13,120,Mantener la técnica durante todo el ejercicio.
43013693,2026-07-30,6,40,5,13,120,
43013693,2026-08-07,1,45,5,13,30,Reducir el peso si pierde la técnica.
43013693,2026-08-07,2,51,3,10,120,Realizar el movimiento completo.
43013693,2026-08-07,3,31,4,15,120,Controlar la velocidad de ejecución.
43013693,2026-08-07,4,27,5,13,120,
43013693,2026-08-07,5,43,5,12,45,Aumentar el peso si completa todas las series.
43013693,2026-08-07,6,47,5,11,30,Realizar el movimiento completo.
43013693,2026-08-07,7,52,4,10,45,Aumentar el peso si completa todas las series.
43013693,2026-08-07,8,4,5,8,30,
31886111,2025-11-25,1,16,5,9,30,Controlar la velocidad de ejecución.
31886111,2025-11-25,2,54,4,8,30,
31886111,2025-11-25,3,14,4,10,120,Mantener la técnica durante todo el ejercicio.
31886111,2025-11-25,4,11,5,14,60,
31886111,2025-11-25,5,26,3,9,60,Controlar la velocidad de ejecución.
31886111,2025-11-25,6,40,3,14,30,Realizar el movimiento completo.
31886111,2025-11-25,7,15,4,11,90,
31886111,2025-11-25,8,28,3,11,60,
31886111,2026-02-16,1,23,3,13,60,Mantener la técnica durante todo el ejercicio.
31886111,2026-02-16,2,16,5,13,60,Evitar impulsos.
31886111,2026-02-16,3,14,3,10,60,Realizar el movimiento completo.
31886111,2026-02-16,4,25,3,8,60,
31886111,2026-02-16,5,24,4,10,60,Mantener la técnica durante todo el ejercicio.
31886111,2026-02-16,6,47,3,12,120,Aumentar el peso si completa todas las series.
31886111,2026-02-16,7,19,4,8,45,
31886111,2026-02-16,8,5,4,14,30,Evitar impulsos.
42250525,2026-08-03,1,29,5,14,45,Realizar el movimiento completo.
42250525,2026-08-03,2,26,3,8,90,Reducir el peso si pierde la técnica.
42250525,2026-08-03,3,9,3,13,90,Reducir el peso si pierde la técnica.
42250525,2026-08-03,4,33,3,8,30,Aumentar el peso si completa todas las series.
42250525,2026-08-03,5,48,3,12,60,Evitar impulsos.
42250525,2026-08-03,6,37,5,8,30,Reducir el peso si pierde la técnica.
42250525,2026-08-03,7,17,4,10,60,Controlar la velocidad de ejecución.
42250525,2026-08-03,8,2,5,13,120,Controlar la velocidad de ejecución.
42250525,2026-08-03,9,12,3,10,60,
42250525,2026-07-25,1,21,5,14,120,Aumentar el peso si completa todas las series.
42250525,2026-07-25,2,5,5,11,30,Controlar la velocidad de ejecución.
42250525,2026-07-25,3,46,5,9,60,Aumentar el peso si completa todas las series.
42250525,2026-07-25,4,45,3,14,90,Reducir el peso si pierde la técnica.
42250525,2026-07-25,5,37,5,14,30,Evitar impulsos.
42250525,2026-07-25,6,19,5,15,60,Mantener la técnica durante todo el ejercicio.
42250525,2026-07-25,7,41,5,13,45,
42250525,2026-07-25,8,32,3,12,45,
42250525,2026-07-25,9,13,3,15,45,
42044402,2026-07-09,1,29,5,14,45,
42044402,2026-07-09,2,8,5,9,90,
42044402,2026-07-09,3,34,3,14,60,Realizar el movimiento completo.
42044402,2026-07-09,4,16,4,12,30,Aumentar el peso si completa todas las series.
42044402,2026-07-09,5,10,3,14,45,
42044402,2026-07-09,6,15,3,10,30,Aumentar el peso si completa todas las series.
42044402,2026-07-09,7,48,5,12,120,
42044402,2026-07-09,8,12,4,10,45,Aumentar el peso si completa todas las series.
42044402,2026-07-09,9,13,5,11,60,Evitar impulsos.
42483063,2026-01-18,1,26,5,9,90,Mantener la técnica durante todo el ejercicio.
42483063,2026-01-18,2,51,4,9,90,Evitar impulsos.
42483063,2026-01-18,3,48,5,14,30,Realizar el movimiento completo.
42483063,2026-01-18,4,2,4,15,90,
42483063,2026-01-18,5,29,4,15,90,
42483063,2026-01-18,6,20,5,10,45,
42483063,2026-01-18,7,46,5,8,120,
42483063,2026-01-18,8,16,3,14,60,
42483063,2026-01-18,9,52,4,15,60,Mantener la técnica durante todo el ejercicio.
42483063,2026-03-12,1,50,3,14,120,Controlar la velocidad de ejecución.
42483063,2026-03-12,2,42,4,9,90,Reducir el peso si pierde la técnica.
42483063,2026-03-12,3,10,3,9,30,
42483063,2026-03-12,4,34,3,9,60,Evitar impulsos.
42483063,2026-03-12,5,12,5,11,120,Evitar impulsos.
42483063,2026-03-12,6,39,5,12,90,Mantener la técnica durante todo el ejercicio.
42483063,2026-03-12,7,43,3,12,90,Mantener la técnica durante todo el ejercicio.
35563244,2026-03-03,1,18,3,11,90,Realizar el movimiento completo.
35563244,2026-03-03,2,44,5,9,30,
35563244,2026-03-03,3,9,4,14,120,Aumentar el peso si completa todas las series.
35563244,2026-03-03,4,1,4,15,30,Evitar impulsos.
35563244,2026-03-03,5,25,4,14,45,
35563244,2026-03-03,6,29,5,10,30,
35563244,2026-03-03,7,20,5,10,90,Realizar el movimiento completo.
35563244,2026-04-08,1,54,5,14,45,Mantener la técnica durante todo el ejercicio.
35563244,2026-04-08,2,30,3,14,60,
35563244,2026-04-08,3,10,5,8,120,Mantener la técnica durante todo el ejercicio.
35563244,2026-04-08,4,4,4,15,45,Mantener la técnica durante todo el ejercicio.
35563244,2026-04-08,5,26,5,15,60,Mantener la técnica durante todo el ejercicio.
35563244,2026-04-08,6,53,3,15,120,
35563244,2026-04-08,7,13,4,14,45,Aumentar el peso si completa todas las series.
35563244,2026-04-08,8,34,4,14,45,Controlar la velocidad de ejecución.
35563244,2026-04-08,9,40,3,15,90,Controlar la velocidad de ejecución.
35563244,2026-07-27,1,47,3,14,60,
35563244,2026-07-27,2,15,3,14,120,Reducir el peso si pierde la técnica.
35563244,2026-07-27,3,11,4,8,120,
35563244,2026-07-27,4,40,4,15,120,
35563244,2026-07-27,5,44,5,14,60,Mantener la técnica durante todo el ejercicio.
35563244,2026-07-27,6,48,3,15,30,
35563244,2026-07-27,7,9,3,15,90,Realizar el movimiento completo.
35563244,2026-07-27,8,30,3,8,90,
35505962,2026-07-30,1,24,4,15,90,Reducir el peso si pierde la técnica.
35505962,2026-07-30,2,7,3,8,60,
35505962,2026-07-30,3,39,3,11,120,Mantener la técnica durante todo el ejercicio.
35505962,2026-07-30,4,16,5,9,90,Controlar la velocidad de ejecución.
35505962,2026-07-30,5,15,4,10,120,Mantener la técnica durante todo el ejercicio.
35505962,2026-07-30,6,25,4,10,45,Aumentar el peso si completa todas las series.
35505962,2026-07-30,7,54,4,13,90,
35505962,2026-07-30,8,40,3,12,120,Reducir el peso si pierde la técnica.
35505962,2026-07-30,9,34,5,11,30,Mantener la técnica durante todo el ejercicio.
35505962,2026-07-30,10,10,3,15,45,Controlar la velocidad de ejecución.
43797588,2025-11-25,1,33,5,8,30,Mantener la técnica durante todo el ejercicio.
43797588,2025-11-25,2,34,5,8,60,Evitar impulsos.
43797588,2025-11-25,3,18,5,9,45,Reducir el peso si pierde la técnica.
43797588,2025-11-25,4,10,3,12,60,
43797588,2025-11-25,5,48,4,13,90,Controlar la velocidad de ejecución.
43797588,2025-11-25,6,49,4,10,45,Aumentar el peso si completa todas las series.
