dni,nombre,apellido,fechaNacimiento,telefono,correoElectronico,direccionDomicilio,numeroDomicilio,pisoDomicilio,codigoPostalDomicilio,fechaAlta
31670474,Isabella,Nuñez,1964-08-27,1111177432,isabella.nuñez203@gmail.com,Los Ombúes,3536,,1700,2026-01-05
43013693,Mateo,Castro,1996-03-06,1185308460,mateo.castro426@yahoo.com.ar,Los Olivos,2611,11,1700,2026-01-10
31886111,Felipe,Maidana,1964-10-11,1154898274,felipe.maidana200@outlook.com,Los Ombúes,3750,,1700,2025-11-10
42250525,Milo,Campos,2004-01-26,1164838292,milo.campos264@outlook.com,Los Nogales,2683,10,1700,2026-01-20
42044402,Valentino,Sanchez,2006-07-12,1160609482,valentino.sanchez600@yahoo.com.ar,Los Jacarandás,1488,,1700,2026-04-10
42483063,Martina,Perez,2004-04-20,1153823503,martina.perez911@yahoo.com.ar,Las Orquídeas,1186,5,1700,2026-01-07
35563244,Micaela,Lopez,1982-04-12,1133660959,micaela.lopez461@yahoo.com.ar,Las Tipas,1114,,1700,2026-03-02
35505962,Felipe,Moyano,1992-09-09,1116421877,felipe.moyano655@gmail.com,Los Ombúes,2366,,1700,2025-12-10
43797588,Felipe,Miranda,1966-07-17,1135411875,felipe.miranda867@hotmail.com,Los Lapachos,1835,,1700,2025-11-04
39780814,Martina,Alvarez,2001-12-16,1117024167,martina.alvarez590@hotmail.com,Los Tamariscos,2472,,1700,2025-11-12
33220726,Lautaro,Romero,1987-10-10,1117263962,lautaro.romero100@gmail.com,Los Eucaliptos,4011,,1700,2026-01-07
33533977,Augusto,Herrera,1990-07-06,1137649673,augusto.herrera322@hotmail.com,Los Fresnos,1162,6,1700,2026-02-20
44220085,Sofia Belen,Herrera,1995-09-25,1158270575,sofiabelen.herrera236@yahoo.com.ar,Los Plátanos,2200,,1700,2026-01-05
40089551,Sara,Lucero,1993-11-18,1160323748,sara.lucero751@yahoo.com.ar,Los Aromos,2669,12,1700,2026-01-15
35579881,Simon,Vargas,2008-07-22,1156017143,simon.vargas626@outlook.com,Los Lapachos,2203,,1700,2026-01-21
44674576,Zoe Valentina,Garcia,2003-09-22,1166027448,zoevalentina.garcia728@gmail.com,Los Cipreses,3824,,1700,2026-03-29
39005282,Juan Ignacio,Lopez,2000-02-03,1110899225,juanignacio.lopez875@yahoo.com.ar,Las Tipas,1217,,1700,2026-02-10
47775011,Lorenzo,Gomez,1998-10-20,1118485666,lorenzo.gomez373@outlook.com,Los Tilos,1918,,1700,2026-03-01
30008181,Julia,Rivero,1999-10-01,1182007541,julia.rivero886@hotmail.com,Los Jacarandás,4108,1,1700,2026-01-19
46988479,Pilar,Maldonado,1997-04-06,1150017098,pilar.maldonado78@gmail.com,Los Eucaliptos,1086,,1700,2026-04-03
41472576,Ambar,Moreno,2007-12-22,1165942952,ambar.moreno764@outlook.com,Los Abedules,2484,,1700,2026-02-03
39143728,Lautaro,Quiroga,2010-11-13,1195989374,lautaro.quiroga480@gmail.com,Los Tamariscos,1834,4,1700,2025-10-30
30498521,Alma Valentina,Fernandez,1951-07-30,1190059483,almavalentina.fernandez433@yahoo.com.ar,Los Tilos,2332,,1700,2026-01-12
37894239,Luz Maria,Perez,1975-04-26,1194220366,luzmaria.perez269@gmail.com,Los Robles,823,,1700,2026-03-17
43412266,Felipe,Mansilla,1962-11-16,1113474222,felipe.mansilla664@hotmail.com,Los Tilos,1818,,1700,2026-05-05
47954493,Joaquín,Arias,1959-07-08,1125614052,joaquín.arias882@yahoo.com.ar,Los Fresnos,895,,1700,2026-01-10
43323619,Tomàs,Rodriguez,1976-05-09,1154167486,tomàs.rodriguez60@outlook.com,Los Ceibos,1753,,1700,2026-06-09
44883900,Camila,Gonzalez,1992-10-23,1170686143,camila.gonzalez879@outlook.com,Los Ceibos,3525,,1700,2026-01-08
48996750,Emilia,Gonzalez,2006-11-23,1146031169,emilia.gonzalez369@yahoo.com.ar,Las Azaleas,2777,,1700,2026-01-08
34856327,Bianca,Rodriguez,2007-03-25,1165089048,bianca.rodriguez931@outlook.com,Las Camelias,2759,,1700,2026-01-16
39013537,Paula,Quiroga,2007-12-11,1153292425,paula.quiroga544@yahoo.com.ar,Los Tamariscos,3830,,1700,2026-02-10
31841068,Josefina,Leiva,2005-06-27,1122882881,josefina.leiva831@yahoo.com.ar,Los Paraísos,928,,1700,2026-05-08
33199156,Bautista,Perez,1979-05-11,1189758152,bautista.perez783@hotmail.com,Los Plátanos,3100,,1700,2026-02-08
47245217,Bautista,Flores,1968-08-01,1180768367,bautista.flores957@yahoo.com.ar,Los Cedros,2957,,1700,2026-02-08
40000902,Sofia,Ruiz,2001-10-11,1131424477,sofia.ruiz505@outlook.com,Los Ceibos,3583,2,1700,2026-01-07
32584391,Federico,Paez,1984-12-27,1122899597,federico.paez604@yahoo.com.ar,Los Paraísos,674,,1700,2026-02-14
43123939,Guillermina,Maldonado,1996-03-18,1119841258,guillermina.maldonado984@yahoo.com.ar,Las Acacias,4103,,1700,2026-01-01
47148890,Guadalupe,Mendez,2005-12-01,1144702757,guadalupe.mendez706@yahoo.com.ar,Los Sauces,382,,1700,2026-03-04
38124201,Agustina,Quiroga,2007-01-20,1125850093,agustina.quiroga935@gmail.com,Las Orquídeas,4448,,1700,2026-02-10
42998600,Joaquin,Nuñez,2002-05-11,1135476041,joaquin.nuñez139@hotmail.com,Los Paraísos,1762,10,1700,2026-04-30
30468435,Julieta,Correa,1985-11-23,1137559464,julieta.correa64@hotmail.com,Los Sauces,1108,,1700,2026-02-09
45084852,Mateo Benjamin,Gimenez,1998-06-01,1183175231,mateobenjamin.gimenez506@yahoo.com.ar,Los Eucaliptos,2522,,1700,2026-04-20
45177812,Thiago Nahuel,Molina,2006-04-18,1138084729,thiagonahuel.molina266@gmail.com,Los Fresnos,2704,8,1700,2026-03-20
46154567,Ignacio,Fernandez,1996-04-30,1192308976,ignacio.fernandez83@yahoo.com.ar,Las Azaleas,3055,,1700,2026-01-03
43041805,Julian,Blanco,2003-04-05,1132074688,julian.blanco597@hotmail.com,Los Cipreses,3339,,1700,2026-04-01
48317455,Valentina Jazmin,Rodriguez,1994-04-11,1162805620,valentinajazmin.rodriguez81@yahoo.com.ar,Los Fresnos,3665,,1700,2026-01-18
31832850,Juan Cruz,Gonzalez,1973-08-28,1113019474,juancruz.gonzalez496@gmail.com,Los Aromos,2675,,1700,2026-02-12
33259339,Amparo,Godoy,1999-06-19,1155719986,amparo.godoy376@gmail.com,Los Jacarandás,2222,3,1700,2026-05-20
33302479,Matilda,Fernandez,1969-01-08,1124857243,matilda.fernandez169@yahoo.com.ar,Los Lapachos,1247,,1700,2025-11-08
41747096,Delfina,Benitez,2000-04-30,1177195326,delfina.benitez629@hotmail.com,Las Camelias,4338,,1700,2026-01-08
35453371,Tiziano Benjamin,Diaz,2013-07-18,1129957189,tizianobenjamin.diaz804@hotmail.com,Los Cedros,305,6,1700,2026-01-20
41350266,Gael,Alvarez,1977-01-31,1158395301,gael.alvarez263@gmail.com,Los Paraísos,763,,1700,2026-01-26
34403713,Francisca,Campos,2005-04-07,1181507834,francisca.campos625@gmail.com,Los Ombúes,3026,,1700,2026-01-01
45671152,Mateo Benjamin,Ayala,1994-10-23,1154999759,mateobenjamin.ayala604@yahoo.com.ar,Los Fresnos,884,,1700,2026-02-06
40497011,Ciro,Castillo,1991-05-17,1120782887,ciro.castillo612@outlook.com,Los Ceibos,3673,,1700,2026-01-11
39442872,Thiago Leonel,Mansilla,1993-12-29,1191510401,thiagoleonel.mansilla759@hotmail.com,Las Camelias,861,,1700,2025-10-06
43146340,Catalina,Perez,1950-09-22,1146781189,catalina.perez971@outlook.com,Las Acacias,4393,,1700,2026-01-09
43790433,Renata,Mendez,2007-04-05,1170831758,renata.mendez928@outlook.com,Las Acacias,2573,,1700,2026-04-06
33831536,Victoria,Gomez,1990-09-23,1193145136,victoria.gomez512@outlook.com,Los Lapachos,869,,1700,2026-02-10
48690393,Thiago,Diaz,2009-02-11,1155307072,thiago.diaz361@gmail.com,Los Robles,1649,,1700,2026-02-02
45531687,Thiago Agustin,Nuñez,2007-08-17,1114481725,thiagoagustin.nuñez107@yahoo.com.ar,Los Tamariscos,2352,,1700,2026-01-06
38693174,Isabella,Lucero,2002-05-08,1114275760,isabella.lucero768@outlook.com,Los Cedros,2723,4,1700,2026-03-01
43365243,Simon,Ramos,1983-03-08,1142126315,simon.ramos953@hotmail.com,Los Olivos,2151,,1700,2026-05-08
47355282,Mateo,Sanchez,2002-11-29,1197446441,mateo.sanchez556@outlook.com,Las Magnolias,222,5,1700,2026-06-05
43621615,Bautista,Ruiz,2003-10-17,1181196212,bautista.ruiz883@hotmail.com,Los Tamariscos,3068,,1700,2025-11-03
30907914,Pedro,Castillo,1962-07-19,1156128428,pedro.castillo607@outlook.com,Los Jacarandás,900,,1700,2026-02-18
46529533,Jazmin,Ruiz,1994-12-14,1166986295,jazmin.ruiz808@hotmail.com,Las Azaleas,4445,5,1700,2025-12-07
48184474,Jazmin,Garcia,2003-09-10,1190922698,jazmin.garcia854@outlook.com,Los Ceibos,1150,,1700,2026-02-16
30652764,Thiago,Juarez,1986-01-22,1111303808,thiago.juarez79@yahoo.com.ar,Las Azaleas,1014,,1700,2026-04-15
35648176,Sofia,Gutierrez,1970-09-01,1195909423,sofia.gutierrez789@hotmail.com,Los Cedros,2343,,1700,2026-01-05
32080077,Alexander,Medina,2012-02-29,1117091037,alexander.medina745@outlook.com,Los Ceibos,3221,,1700,2026-02-09
46800262,Valentina ,Dominguez,1991-01-20,1196153580,valentina.dominguez433@hotmail.com,Los Cipreses,1896,10,1700,2026-01-22
45386259,Juan,Ojeda,1988-07-30,1163452928,juan.ojeda706@gmail.com,Los Olivos,4087,8,1700,2026-02-06
37537382,Antonella,Gomez,1991-04-16,1168597878,antonella.gomez31@outlook.com,Las Camelias,1295,5,1700,2026-02-02
36703108,Guadalupe,Arias,2003-09-07,1156589520,guadalupe.arias248@outlook.com,Los Pinos,1816,,1700,2026-03-17
38617107,Bautista,Fernandez,2012-06-21,1146888484,bautista.fernandez103@hotmail.com,Los Pinos,4341,11,1700,2025-12-05
34624492,Mia Morena,Nuñez,2010-08-30,1175903107,miamorena.nuñez667@outlook.com,Los Tilos,479,,1700,2026-01-07
35091662,Giovanni,Navarro,1996-02-18,1182342613,giovanni.navarro510@outlook.com,Los Cipreses,1370,,1700,2026-01-08
38945107,Jeronimo,Garcia,1956-12-30,1179101850,jeronimo.garcia272@yahoo.com.ar,Los Jacarandás,2387,8,1700,2026-01-24
37894230,Ramiro,Romero,1994-03-27,1151707798,ramiro.romero599@gmail.com,Los Ceibos,2604,,1700,2026-03-10
32002430,Rosario,Garcia,1989-03-07,1182780755,rosario.garcia736@gmail.com,Los Tamariscos,4284,,1700,2026-03-19
38613614,Santiago,Correa,1966-11-05,1162394939,santiago.correa511@gmail.com,Los Plátanos,2942,11,1700,2026-02-08
35486313,Victoria,Rojas,1994-02-28,1128625334,victoria.rojas573@gmail.com,Los Cipreses,4235,,1700,2026-01-02
48433018,Juan Martin,Romero,1993-02-20,1176860093,juanmartin.romero938@hotmail.com,Los Espinillos,679,10,1700,2026-01-19
37738658,Ignacio,Sanchez,2005-09-14,1178212884,ignacio.sanchez565@gmail.com,Los Pinos,1760,5,1700,2026-03-03
44537089,Thiago Benjamin,Coronel,1998-04-08,1166857385,thiagobenjamin.coronel74@yahoo.com.ar,Los Abedules,243,,1700,2026-03-12
47047754,Salvador,Molina,2006-02-09,1167501366,salvador.molina704@gmail.com,Las Azaleas,1333,,1700,2026-03-11
47874930,Antonia,Perez,1967-08-08,1198610778,antonia.perez691@hotmail.com,Los Nogales,2493,,1700,2026-02-01
34721320,Valentino,Gonzalez,1998-12-28,1193363466,valentino.gonzalez510@hotmail.com,Las Magnolias,1725,,1700,2026-01-06
34560532,Martina,Olivera,2005-11-28,1180853737,martina.olivera400@outlook.com,Las Acacias,3542,10,1700,2025-12-08
42825142,Martin,Carrizo,2013-09-16,1122564169,martin.carrizo899@yahoo.com.ar,Los Espinillos,2851,,1700,2025-12-06
39967915,Dylan Ezequiel,Gutierrez,2004-03-06,1138946994,dylanezequiel.gutierrez627@hotmail.com,Los Plátanos,3683,5,1700,2026-02-10
45511257,Lorenzo,Gutierrez,1984-03-14,1167022384,lorenzo.gutierrez806@gmail.com,Las Tipas,946,5,1700,2026-03-31
38843621,Bautista,Coronel,2006-07-23,1195935114,bautista.coronel842@gmail.com,Las Tipas,2499,,1700,2026-01-12
41540353,Julieta,Quiroga,1996-02-16,1159654468,julieta.quiroga110@gmail.com,Los Eucaliptos,391,5,1700,2025-12-06
45050220,Nahuel,Diaz,2001-10-21,1191329278,nahuel.diaz797@hotmail.com,Los Tamariscos,379,,1700,2026-04-05
34646179,Juan Bautista,Ferreyra,1994-03-27,1110029716,juanbautista.ferreyra111@hotmail.com,Los Olivos,230,,1700,2025-12-05
38149866,Nina,Castillo,1976-08-20,1195656103,nina.castillo998@yahoo.com.ar,Los Arrayanes,2842,,1700,2026-02-18
32152774,Ignacio,Ortiz,1999-06-18,1154889227,ignacio.ortiz630@outlook.com,Las Camelias,3955,,1700,2025-11-09
45448675,Mateo,Aguirre,1988-11-15,1150365458,mateo.aguirre889@gmail.com,Los Cedros,2343,,1700,2026-02-03
46857212,Luisana,Duarte,1977-02-10,1118764271,luisana.duarte21@gmail.com,Los Ombúes,1319,,1700,2026-04-13
30421801,Valentino,Rojas,1988-12-10,1159919071,valentino.rojas189@hotmail.com,Las Camelias,4403,,1700,2026-03-07
33173964,Ana Paula,Fernandez,1999-03-25,1148828111,anapaula.fernandez828@hotmail.com,Las Tipas,1317,8,1700,2026-01-01
32369639,Santino Agustin,Martinez,2006-12-06,1113314827,santinoagustin.martinez970@yahoo.com.ar,Los Lapachos,249,12,1700,2026-02-15
36740026,Mateo,Gimenez,1998-05-06,1198542478,mateo.gimenez598@outlook.com,Los Arrayanes,3893,,1700,2026-01-03
41944063,Juan Bautista,Ramos,1992-03-15,1148997038,juanbautista.ramos82@yahoo.com.ar,Los Arrayanes,799,12,1700,2026-05-06
39511994,Elena,Romero,1994-05-10,1199264770,elena.romero428@hotmail.com,Los Fresnos,2536,,1700,2026-01-05
42441646,Paloma,Castro,1997-05-30,1155266278,paloma.castro202@outlook.com,Los Eucaliptos,1829,6,1700,2026-01-18
46463759,Mateo Benjamin,Juarez,1988-09-19,1143179559,mateobenjamin.juarez18@yahoo.com.ar,Las Azaleas,1763,2,1700,2026-02-11
34625209,Tomàs,Torres,1961-11-23,1187266944,tomàs.torres689@gmail.com,Los Nogales,2701,,1700,2026-05-10
31816984,Alexander,Coronel,2004-02-29,1126991619,alexander.coronel706@hotmail.com,Los Espinillos,2496,6,1700,2026-02-08
42539116,Amparo,Cruz,1987-07-23,1162623747,amparo.cruz126@gmail.com,Los Sauces,3155,,1700,2026-02-23
44769974,Juan Martin,Rodriguez,1998-03-27,1169881677,juanmartin.rodriguez517@outlook.com,Los Jacarandás,3692,9,1700,2025-12-19
36426955,Francisco,Cordoba,2006-11-12,1184856601,francisco.cordoba389@yahoo.com.ar,Los Arrayanes,2525,,1700,2026-01-10
30033023,Lautaro,Acuña,2012-10-14,1161755222,lautaro.acuña430@hotmail.com,Los Ceibos,2108,,1700,2026-02-05
33420164,Luciano,Alvarez,1976-03-14,1185396317,luciano.alvarez196@gmail.com,Las Acacias,771,12,1700,2026-03-09
43942025,Morena,Rodriguez,1988-06-09,1124018342,morena.rodriguez241@outlook.com,Las Azaleas,3884,,1700,2026-01-13
35072810,Tomàs,Rodriguez,2001-10-29,1112907287,tomàs.rodriguez106@hotmail.com,Las Tipas,1366,5,1700,2026-02-25
35719554,Juana,Soria,1992-10-16,1151380181,juana.soria813@outlook.com,Los Sauces,133,,1700,2026-02-15
40632892,Felipe,Peralta,2000-07-01,1166385599,felipe.peralta443@outlook.com,Los Eucaliptos,2019,,1700,2026-01-17
32502939,Jeremias,Ledesma,2000-08-20,1132093176,jeremias.ledesma135@yahoo.com.ar,Los Paraísos,2426,,1700,2026-02-01
39754738,Geronimo,Guzman,1995-06-03,1136376317,geronimo.guzman210@outlook.com,Las Azaleas,2502,,1700,2026-01-18
42833701,Benicio,Torres,1994-10-15,1163885674,benicio.torres324@yahoo.com.ar,Las Camelias,571,8,1700,2026-01-03
43582395,Joaquin,Godoy,2000-05-26,1157171535,joaquin.godoy931@yahoo.com.ar,Los Robles,3846,,1700,2026-01-06
48233085,Delfina,Diaz,2007-05-20,1136225214,delfina.diaz697@yahoo.com.ar,Los Aromos,3481,,1700,2026-03-01
31542715,Juan Sebastian,Rios,1995-08-25,1132295221,juansebastian.rios863@yahoo.com.ar,Los Robles,511,,1700,2026-04-06
47675123,Sebastian,Gimenez,2002-06-08,1152083921,sebastian.gimenez498@gmail.com,Los Sauces,849,,1700,2025-11-22
40367193,Valentino,Bustos,1994-09-29,1133332136,valentino.bustos974@gmail.com,Los Jacarandás,1799,,1700,2026-02-13
34134674,Jeremias,Rodriguez,2004-09-14,1158569648,jeremias.rodriguez569@hotmail.com,Los Olivos,471,,1700,2026-02-26
34610191,Uma ,Herrera,1967-06-19,1184803801,uma.herrera50@outlook.com,Los Nogales,2892,9,1700,2025-12-03
40797196,Matias,Torres,2008-03-31,1164644831,matias.torres280@gmail.com,Las Camelias,4446,,1700,2026-04-14
45825638,Camila,Vargas,2006-10-13,1125233828,camila.vargas893@outlook.com,Los Eucaliptos,2576,,1700,2026-02-24
33391208,Francisco,Gonzalez,2000-06-07,1113737639,francisco.gonzalez221@yahoo.com.ar,Los Sauces,3501,11,1700,2026-03-13
43912097,Josefina,Velazquez,1989-06-30,1128106698,josefina.velazquez393@gmail.com,Los Arrayanes,2630,4,1700,2026-01-15
43868067,Juan Ignacio,Juarez,1964-01-09,1185759066,juanignacio.juarez149@hotmail.com,Los Plátanos,3613,,1700,2026-03-16
30986280,Santino Ezequiel,Rojas,1989-10-27,1130525474,santinoezequiel.rojas720@yahoo.com.ar,Los Álamos,2217,2,1700,2025-12-02
38632323,Mia,Rojas,2007-11-20,1122789413,mia.rojas83@hotmail.com,Los Ombúes,624,5,1700,2025-10-28
31934497,Juan Cruz,Torres,1984-10-17,1120134786,juancruz.torres609@hotmail.com,Los Espinillos,593,,1700,2026-03-10
35844112,Gabriel,Vera,2003-04-27,1192618447,gabriel.vera907@gmail.com,Las Tipas,1075,,1700,2026-02-08
41153924,Santino Benjamin,Medina,1990-08-10,1133024737,santinobenjamin.medina507@hotmail.com,Las Acacias,3433,,1700,2026-07-16
42399071,Thiago Emanuel,Lucero,2006-12-28,1148468530,thiagoemanuel.lucero880@gmail.com,Las Violetas,3197,9,1700,2026-04-22
40205064,Nahiara,Molina,2001-01-16,1191036264,nahiara.molina928@hotmail.com,Las Magnolias,2096,,1700,2026-05-10
40990404,Renata,Lopez,1994-07-11,1162918748,renata.lopez42@outlook.com,Las Acacias,3440,,1700,2025-10-06
38975732,Victoria,Aguero,1963-07-18,1122681766,victoria.aguero695@yahoo.com.ar,Los Arrayanes,2801,9,1700,2026-01-07
44737774,Joaquin,Leiva,1982-11-13,1116414019,joaquin.leiva468@gmail.com,Los Sauces,396,,1700,2026-01-05
38105411,Maria Victoria,Farias,2009-05-11,1130444382,mariavictoria.farias104@yahoo.com.ar,Los Espinillos,3376,,1700,2025-12-06
38803223,Julia,Navarro,1984-02-18,1197353704,julia.navarro488@outlook.com,Las Orquídeas,2562,,1700,2025-11-01
34484403,Salvador,Rivero,1993-07-09,1111004191,salvador.rivero550@yahoo.com.ar,Los Abedules,3729,,1700,2026-01-13
35669779,Agustina,Muñoz,2001-12-18,1152332084,agustina.muñoz98@hotmail.com,Los Ceibos,2692,10,1700,2026-01-18
48985373,Benjamin Ezequiel,Torres,2004-03-03,1170658408,benjaminezequiel.torres246@gmail.com,Las Azaleas,4470,,1700,2026-02-08
40848612,Santino,Peralta,2006-06-09,1179699369,santino.peralta228@hotmail.com,Los Cipreses,4060,,1700,2025-12-01
48953792,Mia Jazmin,Miranda,1992-10-27,1185028320,miajazmin.miranda894@yahoo.com.ar,Los Ceibos,3321,,1700,2026-02-18
35051476,Juan Ignacio,Caceres,2005-11-01,1129982589,juanignacio.caceres961@gmail.com,Los Arrayanes,226,12,1700,2025-11-11
33663336,Pilar,Molina,1968-10-30,1192988480,pilar.molina105@hotmail.com,Las Violetas,3090,,1700,2025-12-09
35871899,Valentino,Vazquez,1984-09-12,1133871566,valentino.vazquez394@gmail.com,Los Álamos,376,,1700,2026-02-05
36414253,Emma,Quiroga,1984-10-27,1161347547,emma.quiroga131@outlook.com,Los Ombúes,1834,,1700,2025-12-09
48654338,Ignacio,Campos,2013-04-16,1188880226,ignacio.campos468@outlook.com,Los Paraísos,2256,,1700,2026-04-19
41977243,Luz Milagros,Sosa,2000-10-03,1156564407,luzmilagros.sosa609@hotmail.com,Los Castaños,324,,1700,2025-12-13
35961596,Manuel,Lopez,1984-05-13,1127901408,manuel.lopez126@yahoo.com.ar,Los Tamariscos,2229,,1700,2026-01-22
48829179,Agustin,Soria,2008-05-09,1151091367,agustin.soria552@gmail.com,Los Olivos,2691,2,1700,2026-03-16
36707618,Alexander,Sanchez,1976-07-29,1181763778,alexander.sanchez636@yahoo.com.ar,Las Camelias,3496,2,1700,2026-03-16
30363127,Simon,Pereyra,1982-12-07,1186531826,simon.pereyra97@yahoo.com.ar,Los Paraísos,1342,,1700,2026-03-08
47840490,Juan Pablo,Olivera,1990-09-08,1170573144,juanpablo.olivera361@outlook.com,Los Aromos,3337,,1700,2026-05-17
31263795,Catalina,Diaz,2002-08-20,1125280935,catalina.diaz816@gmail.com,Las Violetas,306,,1700,2026-03-02
48097573,Sofía,Romero,1995-01-22,1178792026,sofía.romero476@yahoo.com.ar,Los Plátanos,3392,,1700,2026-03-23
33293900,Olivia,Ledesma,2003-11-29,1136211947,olivia.ledesma944@outlook.com,Los Jacarandás,3206,2,1700,2025-11-06
35413939,Sofia,Gonzalez,2006-12-04,1195323795,sofia.gonzalez309@gmail.com,Los Robles,4014,5,1700,2026-04-15
42868661,Emanuel,Sanchez,2003-11-11,1198986769,emanuel.sanchez253@outlook.com,Los Fresnos,4331,,1700,2026-02-13
37612601,Santino,Rodriguez,2013-09-25,1199575371,santino.rodriguez135@hotmail.com,Las Violetas,3209,,1700,2026-01-18
42728107,Agostina,Flores,1995-06-24,1147746934,agostina.flores366@outlook.com,Los Eucaliptos,1026,,1700,2026-01-16
41318247,Alma,Chavez,2002-03-18,1180522619,alma.chavez666@yahoo.com.ar,Los Ombúes,2699,,1700,2026-04-11
40010273,Alexander,Vera,1960-10-29,1183932123,alexander.vera808@yahoo.com.ar,Los Fresnos,3603,,1700,2025-11-21
45869359,Alvaro,Lopez,2004-11-13,1138166052,alvaro.lopez9@outlook.com,Los Castaños,4328,,1700,2026-02-20
38863870,Renzo,Gonzalez,1980-09-15,1147800236,renzo.gonzalez471@outlook.com,Los Tilos,3068,,1700,2026-05-13
45802972,Matias,Ayala,1988-06-07,1114118979,matias.ayala581@yahoo.com.ar,Las Violetas,2115,4,1700,2026-06-02
39397146,Nahuel,Quiroga,2008-05-04,1139240282,nahuel.quiroga135@gmail.com,Los Ombúes,3637,9,1700,2026-04-19
48336763,Gabriel,Cabrera,1991-02-19,1164880267,gabriel.cabrera596@yahoo.com.ar,Las Magnolias,3496,10,1700,2025-11-01
39732551,Felipe,Ayala,2000-03-06,1182486673,felipe.ayala660@gmail.com,Los Ceibos,3611,6,1700,2026-05-19
38640882,Santiago,Acosta,1985-07-10,1169312919,santiago.acosta277@gmail.com,Los Robles,4346,8,1700,2026-03-04
