dniCliente,fechaCreacion,legajo,idObjetivo,observaciones
40000902,2026-02-10,10,2,
40000902,2026-07-18,2,1,
40000902,2026-08-07,13,1,Realizar movilidad antes de entrenar.
32584391,2026-08-07,13,3,Priorizar técnica.
32584391,2026-04-28,5,4,Priorizar técnica.
32584391,2026-06-22,10,1,
32584391,2026-07-27,1,1,Controlar la intensidad.
43123939,2026-01-13,10,3,
43123939,2026-03-13,9,1,
43123939,2026-04-05,10,1,Respetar tiempos de descanso.
43123939,2026-07-05,14,2,Aumentar carga progresivamente.
47148890,2026-07-25,1,4,Aumentar carga progresivamente.
47148890,2026-04-12,5,1,
47148890,2026-07-27,1,1,
38124201,2026-07-30,13,1,Priorizar técnica.
38124201,2026-07-29,13,2,Priorizar técnica.
38124201,2026-08-04,13,1,Realizar movilidad antes de entrenar.
42998600,2026-05-13,5,3,
30468435,2026-02-12,9,3,Controlar la intensidad.
45084852,2026-04-23,14,5,
45084852,2026-05-26,14,3,Realizar movilidad antes de entrenar.
45177812,2026-03-24,5,1,Priorizar técnica.
46154567,2026-01-17,9,3,Controlar la intensidad.
46154567,2026-08-07,13,4,Respetar tiempos de descanso.
46154567,2026-04-04,5,4,Priorizar técnica.
43041805,2026-04-12,14,4,
43041805,2026-05-06,14,5,Aumentar carga progresivamente.
48317455,2026-01-19,14,1,
48317455,2026-02-25,9,3,Controlar la intensidad.
48317455,2026-07-20,1,3,Respetar tiempos de descanso.
31832850,2026-07-29,1,1,
31832850,2026-07-09,2,2,Priorizar técnica.
31832850,2026-07-26,1,3,
33259339,2026-07-29,1,4,Realizar movilidad antes de entrenar.
33302479,2026-07-27,13,2,
41747096,2026-08-03,13,3,Aumentar carga progresivamente.
41747096,2026-02-23,14,5,Realizar movilidad antes de entrenar.
41747096,2026-07-05,2,1,
41747096,2026-04-12,5,1,
35453371,2026-01-20,10,1,Priorizar técnica.
35453371,2026-07-21,1,3,
41350266,2026-07-29,1,2,
41350266,2026-03-11,5,1,Priorizar técnica.
41350266,2026-04-08,9,4,
41350266,2026-07-30,1,4,
34403713,2026-01-16,9,3,Controlar la intensidad.
34403713,2026-05-16,5,3,
34403713,2026-06-07,14,3,
45671152,2026-02-08,14,2,
45671152,2026-04-14,14,2,
45671152,2026-07-28,13,3,
40497011,2026-01-15,5,1,Priorizar técnica.
39442872,2026-08-01,13,1,Controlar la intensidad.
39442872,2026-07-31,13,2,Respetar tiempos de descanso.
43146340,2026-07-11,2,2,Priorizar técnica.
43146340,2026-03-20,5,3,Priorizar técnica.
43790433,2026-04-14,9,3,Realizar movilidad antes de entrenar.
43790433,2026-07-16,1,3,Realizar movilidad antes de entrenar.
33831536,2026-02-20,10,1,
48690393,2026-07-29,13,1,Priorizar técnica.
45531687,2026-07-28,1,1,Realizar movilidad antes de entrenar.
38693174,2026-07-20,2,2,
38693174,2026-07-19,2,4,Controlar la intensidad.
38693174,2026-06-01,10,1,Realizar movilidad antes de entrenar.
38693174,2026-08-04,14,1,Controlar la intensidad.
43365243,2026-07-23,1,1,Aumentar carga progresivamente.
47355282,2026-06-10,9,4,Priorizar técnica.
43621615,2025-12-02,10,2,Controlar la intensidad.
30907914,2026-02-21,9,3,Respetar tiempos de descanso.
46529533,2026-07-13,2,2,Priorizar técnica.
46529533,2026-08-07,10,1,Respetar tiempos de descanso.
48184474,2026-07-16,2,3,Realizar movilidad antes de entrenar.
48184474,2026-03-18,9,4,Realizar movilidad antes de entrenar.
30652764,2026-07-09,2,3,Priorizar técnica.
35648176,2026-07-24,1,1,Controlar la intensidad.
35648176,2026-02-11,14,3,Realizar movilidad antes de entrenar.
32080077,2026-07-22,1,2,
32080077,2026-08-02,13,1,Controlar la intensidad.
32080077,2026-08-06,13,2,Respetar tiempos de descanso.
46800262,2026-01-24,14,1,Respetar tiempos de descanso.
46800262,2026-07-23,1,1,Aumentar carga progresivamente.
46800262,2026-07-07,2,2,Controlar la intensidad.
46800262,2026-07-31,13,3,
45386259,2026-07-15,2,3,
37537382,2026-02-11,9,2,
37537382,2026-08-05,2,2,
36703108,2026-03-29,9,3,Respetar tiempos de descanso.
38617107,2025-12-12,10,2,
38617107,2026-08-05,13,4,Controlar la intensidad.
34624492,2026-07-26,1,1,Priorizar técnica.
34624492,2026-07-18,1,4,Controlar la intensidad.
35091662,2026-01-20,14,1,Respetar tiempos de descanso.
35091662,2026-07-11,2,1,
38945107,2026-02-02,9,3,Aumentar carga progresivamente.
38945107,2026-07-27,13,2,Aumentar carga progresivamente.
38945107,2026-05-27,9,2,
37894230,2026-03-17,9,1,Realizar movilidad antes de entrenar.
37894230,2026-07-17,2,5,
37894230,2026-05-16,5,3,
32002430,2026-07-13,2,3,
38613614,2026-02-08,14,4,Respetar tiempos de descanso.
38613614,2026-07-28,13,3,Respetar tiempos de descanso.
35486313,2026-01-16,9,4,Controlar la intensidad.
35486313,2026-02-04,5,1,
35486313,2026-03-14,9,1,Respetar tiempos de descanso.
35486313,2026-04-06,14,1,Priorizar técnica.
48433018,2026-01-25,9,2,Controlar la intensidad.
48433018,2026-03-03,5,1,
48433018,2026-07-29,13,3,Realizar movilidad antes de entrenar.
37738658,2026-07-08,2,4,Respetar tiempos de descanso.
37738658,2026-07-17,1,1,
37738658,2026-07-24,1,5,
37738658,2026-07-29,1,3,Aumentar carga progresivamente.
44537089,2026-07-19,2,4,Aumentar carga progresivamente.
44537089,2026-07-11,2,2,
47047754,2026-07-16,2,1,Controlar la intensidad.
47874930,2026-07-22,1,2,Controlar la intensidad.
47874930,2026-07-24,1,2,Aumentar carga progresivamente.
34721320,2026-01-19,14,1,
34721320,2026-07-12,2,2,Realizar movilidad antes de entrenar.
34721320,2026-03-12,9,3,
34560532,2026-07-16,1,1,Priorizar técnica.
42825142,2026-07-30,13,3,Respetar tiempos de descanso.
42825142,2026-07-19,2,3,Priorizar técnica.
39967915,2026-07-09,2,5,Realizar movilidad antes de entrenar.
39967915,2026-05-11,9,1,Realizar movilidad antes de entrenar.
39967915,2026-07-15,9,1,Respetar tiempos de descanso.
45511257,2026-07-30,1,2,Respetar tiempos de descanso.
45511257,2026-07-28,13,3,Respetar tiempos de descanso.
38843621,2026-07-06,2,3,
41540353,2026-07-19,1,4,Controlar la intensidad.
41540353,2026-07-18,1,3,Aumentar carga progresivamente.
41540353,2026-02-15,9,1,
41540353,2026-03-09,10,3,Realizar movilidad antes de entrenar.
45050220,2026-04-13,14,1,Controlar la intensidad.
45050220,2026-08-07,9,1,Realizar movilidad antes de entrenar.
34646179,2026-01-07,9,2,
34646179,2026-02-19,5,1,Aumentar carga progresivamente.
34646179,2026-07-12,9,1,Realizar movilidad antes de entrenar.
38149866,2026-02-18,9,1,Aumentar carga progresivamente.
38149866,2026-07-31,1,1,
32152774,2026-01-05,9,1,Priorizar técnica.
32152774,2026-07-21,1,5,
32152774,2026-02-13,10,1,
45448675,2026-02-16,14,2,Aumentar carga progresivamente.
45448675,2026-07-10,14,1,Priorizar técnica.
46857212,2026-07-22,1,1,Aumentar carga progresivamente.
46857212,2026-05-16,9,1,
46857212,2026-07-14,2,2,Priorizar técnica.
30421801,2026-07-07,2,1,Controlar la intensidad.
30421801,2026-04-17,14,1,
30421801,2026-07-18,1,1,Realizar movilidad antes de entrenar.
30421801,2026-06-14,14,1,
33173964,2026-07-26,1,4,Realizar movilidad antes de entrenar.
33173964,2026-02-15,9,4,Respetar tiempos de descanso.
32369639,2026-02-26,9,1,
32369639,2026-03-15,9,1,
36740026,2026-01-15,9,2,
36740026,2026-04-03,9,1,
36740026,2026-07-12,5,1,
41944063,2026-05-19,14,2,Respetar tiempos de descanso.
39511994,2026-07-24,1,4,
39511994,2026-04-12,14,4,
39511994,2026-05-19,5,1,Realizar movilidad antes de entrenar.
39511994,2026-07-14,5,4,Realizar movilidad antes de entrenar.
39511994,2026-08-06,1,1,Priorizar técnica.
42441646,2026-02-02,14,4,Respetar tiempos de descanso.
46463759,2026-02-20,5,1,Controlar la intensidad.
46463759,2026-07-24,1,1,Aumentar carga progresivamente.
34625209,2026-07-13,2,1,Respetar tiempos de descanso.
31816984,2026-07-10,2,2,Realizar movilidad antes de entrenar.
42539116,2026-07-06,2,3,Priorizar técnica.
44769974,2026-07-19,2,3,
44769974,2026-03-19,5,4,
44769974,2026-06-20,10,2,Aumentar carga progresivamente.
36426955,2026-01-21,14,1,Realizar movilidad antes de entrenar.
36426955,2026-02-25,14,2,Respetar tiempos de descanso.
36426955,2026-03-10,10,4,
30033023,2026-02-09,14,3,Respetar tiempos de descanso.
33420164,2026-07-29,13,1,Realizar movilidad antes de entrenar.
33420164,2026-04-16,9,1,Respetar tiempos de descanso.
33420164,2026-05-13,10,4,Aumentar carga progresivamente.
43942025,2026-01-15,14,4,
35072810,2026-07-10,2,5,
35719554,2026-07-15,2,1,Priorizar técnica.
35719554,2026-07-20,1,1,Aumentar carga progresivamente.
35719554,2026-04-21,5,2,
35719554,2026-05-23,9,1,Aumentar carga progresivamente.
35719554,2026-08-05,13,4,
40632892,2026-07-10,2,3,Controlar la intensidad.
32502939,2026-07-09,2,3,
32502939,2026-06-03,5,1,
32502939,2026-08-04,9,3,Priorizar técnica.
39754738,2026-01-31,9,2,Realizar movilidad antes de entrenar.
39754738,2026-07-09,2,4,Priorizar técnica.
39754738,2026-08-02,13,2,
39754738,2026-07-22,14,1,Aumentar carga progresivamente.
42833701,2026-01-12,10,1,Aumentar carga progresivamente.
43582395,2026-01-19,14,1,Aumentar carga progresivamente.
48233085,2026-07-17,1,4,
48233085,2026-07-16,2,2,Realizar movilidad antes de entrenar.
31542715,2026-04-18,14,2,Aumentar carga progresivamente.
31542715,2026-05-13,5,1,
47675123,2025-11-23,5,1,
47675123,2026-02-05,10,1,Controlar la intensidad.
40367193,2026-07-27,13,1,
34134674,2026-07-25,1,3,Priorizar técnica.
34134674,2026-07-26,9,3,
34610191,2026-07-19,2,4,
40797196,2026-04-27,14,5,
45825638,2026-02-26,9,4,Controlar la intensidad.
33391208,2026-07-18,1,1,Aumentar carga progresivamente.
33391208,2026-05-24,10,4,Controlar la intensidad.
33391208,2026-07-19,1,2,
33391208,2026-07-21,1,2,
43912097,2026-01-26,14,1,Priorizar técnica.
43868067,2026-03-16,5,3,Priorizar técnica.
43868067,2026-05-01,9,5,
43868067,2026-06-17,14,1,Priorizar técnica.
30986280,2025-12-10,10,1,Aumentar carga progresivamente.
30986280,2026-07-11,2,1,Aumentar carga progresivamente.
30986280,2026-07-17,1,1,Priorizar técnica.
38632323,2026-07-19,1,2,
38632323,2026-08-07,13,1,
38632323,2026-04-05,9,1,Controlar la intensidad.
38632323,2026-04-30,14,1,
38632323,2026-07-15,2,2,Priorizar técnica.
31934497,2026-07-18,1,5,
31934497,2026-08-03,13,1,
31934497,2026-07-19,9,2,
35844112,2026-02-12,14,3,Respetar tiempos de descanso.
35844112,2026-04-09,14,3,Realizar movilidad antes de entrenar.
41153924,2026-07-20,2,2,
42399071,2026-04-23,10,2,
42399071,2026-05-25,10,1,
42399071,2026-08-04,13,3,
40205064,2026-07-30,13,4,Controlar la intensidad.
40205064,2026-06-16,9,3,Controlar la intensidad.
40990404,2025-10-14,5,1,Aumentar carga progresivamente.
40990404,2026-07-30,1,4,
40990404,2026-08-06,9,4,
38975732,2026-08-01,13,3,
38975732,2026-07-11,2,4,
38975732,2026-08-07,13,1,Respetar tiempos de descanso.
44737774,2026-07-16,2,2,Aumentar carga progresivamente.
38105411,2026-08-01,13,1,
38105411,2026-03-13,10,1,Respetar tiempos de descanso.
38105411,2026-08-05,13,1,
38803223,2025-11-28,14,2,Priorizar técnica.
38803223,2026-07-06,2,2,Controlar la intensidad.
38803223,2026-07-28,1,3,Controlar la intensidad.
38803223,2026-07-31,13,3,
38803223,2026-06-13,14,3,Controlar la intensidad.
38803223,2026-07-14,9,3,
34484403,2026-01-17,9,1,Aumentar carga progresivamente.
34484403,2026-07-22,1,4,
34484403,2026-05-26,10,2,Respetar tiempos de descanso.
34484403,2026-07-21,10,2,Controlar la intensidad.
35669779,2026-01-22,5,5,Priorizar técnica.
35669779,2026-08-07,13,1,
35669779,2026-07-31,13,1,
35669779,2026-06-18,9,1,
35669779,2026-07-23,5,1,Respetar tiempos de descanso.
48985373,2026-07-25,1,4,Aumentar carga progresivamente.
40848612,2025-12-11,5,4,
40848612,2026-01-04,9,5,Priorizar técnica.
40848612,2026-02-07,14,1,
40848612,2026-07-08,10,1,Realizar movilidad antes de entrenar.
40848612,2026-08-06,2,2,Aumentar carga progresivamente.
48953792,2026-02-18,9,3,
35051476,2026-07-31,1,4,
35051476,2026-08-01,13,3,
35051476,2026-08-04,13,5,
33663336,2025-12-12,14,1,
33663336,2026-07-23,9,1,
35871899,2026-02-18,14,3,Controlar la intensidad.
35871899,2026-04-20,14,4,Controlar la intensidad.
36414253,2025-12-11,14,2,Realizar movilidad antes de entrenar.
36414253,2026-02-12,14,1,Priorizar técnica.
36414253,2026-03-13,9,3,Aumentar carga progresivamente.
36414253,2026-06-14,5,3,
48654338,2026-08-03,13,5,Realizar movilidad antes de entrenar.
41977243,2026-07-14,2,1,
35961596,2026-07-16,2,2,Respetar tiempos de descanso.
48829179,2026-03-29,10,1,Respetar tiempos de descanso.
48829179,2026-07-17,1,2,
36707618,2026-03-21,10,1,
36707618,2026-07-26,1,1,Controlar la intensidad.
36707618,2026-07-16,5,3,
30363127,2026-03-21,10,2,
30363127,2026-05-17,5,3,
47840490,2026-07-29,13,1,Aumentar carga progresivamente.
31263795,2026-07-20,1,2,Realizar movilidad antes de entrenar.
31263795,2026-07-25,1,1,Realizar movilidad antes de entrenar.
31263795,2026-07-12,9,4,Controlar la intensidad.
31263795,2026-08-06,14,1,Controlar la intensidad.
48097573,2026-03-28,9,1,Realizar movilidad antes de entrenar.
33293900,2026-07-28,1,2,Respetar tiempos de descanso.
33293900,2026-07-12,2,2,
35413939,2026-04-24,5,3,Respetar tiempos de descanso.
42868661,2026-07-20,1,2,Realizar movilidad antes de entrenar.
42868661,2026-04-22,10,2,Respetar tiempos de descanso.
42868661,2026-06-23,10,3,
37612601,2026-07-30,13,3,Controlar la intensidad.
37612601,2026-07-31,13,2,Realizar movilidad antes de entrenar.
42728107,2026-07-28,1,1,Aumentar carga progresivamente.
41318247,2026-04-24,10,3,Priorizar técnica.
40010273,2025-11-25,5,2,
40010273,2026-02-02,9,1,Priorizar técnica.
40010273,2026-02-23,5,3,Controlar la intensidad.
40010273,2026-07-05,2,4,Priorizar técnica.
40010273,2026-05-26,10,4,Aumentar carga progresivamente.
40010273,2026-07-19,2,1,
45869359,2026-08-02,13,3,
45869359,2026-03-25,5,1,Priorizar técnica.
38863870,2026-05-23,14,4,
38863870,2026-07-13,2,1,Controlar la intensidad.
45802972,2026-07-29,13,1,Controlar la intensidad.
39397146,2026-04-23,5,3,Aumentar carga progresivamente.
39397146,2026-08-06,13,2,Aumentar carga progresivamente.
48336763,2026-07-16,2,3,Priorizar técnica.
48336763,2025-12-08,5,4,
48336763,2026-03-02,14,3,Aumentar carga progresivamente.
48336763,2026-07-17,2,1,
48336763,2026-08-05,1,2,
39732551,2026-06-01,14,1,
39732551,2026-06-24,5,2,Controlar la intensidad.
39732551,2026-07-22,2,4,Priorizar técnica.
38640882,2026-03-11,10,5,Priorizar técnica.
38640882,2026-07-12,9,4,
